Day	Total	One	Two	Three	Four	Five	Six	Ranger
24-6-2015	160	71	45	34	4	2	3	1
25-6-2015	136	61	41	22	4	1	4	3
26-6-2015	137	64	41	22	5	3	0	2
27-6-2015	147	73	39	21	4	1	5	4
28-6-2015	133	53	37	31	4	2	2	4
29-6-2015	156	73	47	27	4	3	1	1
30-6-2015	135	61	46	22	3	1	0	2
1-7-2015	188	85	48	41	5	3	4	2
2-7-2015	162	76	56	21	3	2	2	2
3-7-2015	229	106	63	46	5	5	2	2
4-7-2015	230	104	72	44	4	4	0	2
5-7-2015	250	119	65	50	5	7	1	3
6-7-2015	179	70	61	36	4	7	0	1
7-7-2015	178	78	53	35	5	3	1	3
8-7-2015	196	84	56	48	3	1	1	3
9-7-2015	190	93	50	38	4	2	2	1
10-7-2015	226	102	77	31	7	5	3	1
11-7-2015	244	120	65	42	6	7	0	4
12-7-2015	222	103	56	53	5	1	2	2
13-7-2015	202	94	61	30	8	5	2	2
14-7-2015	174	77	39	34	13	7	3	1
15-7-2015	137	59	44	24	6	3	0	1
16-7-2015	166	84	44	28	5	3	0	2
17-7-2015	232	122	53	48	4	1	1	3
18-7-2015	205	98	61	34	6	4	0	2
19-7-2015	214	88	64	39	10	9	1	3
20-7-2015	184	85	47	37	5	6	2	2
21-7-2015	176	81	43	33	9	5	2	3
22-7-2015	173	87	42	32	4	4	2	2
23-7-2015	198	102	46	32	7	5	4	2
24-7-2015	246	120	61	46	7	4	5	3
25-7-2015	202	101	54	33	5	5	2	2
26-7-2015	221	101	63	44	4	3	2	4
27-7-2015	181	82	51	36	3	5	1	3
28-7-2015	167	79	41	39	4	2	1	1
29-7-2015	182	90	45	26	9	5	3	4
30-7-2015	195	85	52	41	6	5	5	1
31-7-2015	241	116	72	39	4	6	1	3
1-8-2015	203	96	60	31	6	6	2	2
2-8-2015	211	111	48	35	10	4	2	1
3-8-2015	176	84	43	33	6	8	1	1
4-8-2015	158	75	40	28	6	6	0	3
5-8-2015	137	64	35	27	8	1	1	1
6-8-2015	137	68	31	24	6	1	3	4
7-8-2015	201	86	68	30	6	7	3	1
8-8-2015	173	101	37	22	2	7	2	2
9-8-2015	187	94	36	39	9	5	1	3
10-8-2015	161	80	38	34	4	1	0	4
11-8-2015	170	76	43	32	6	4	5	4
12-8-2015	137	73	28	22	7	4	1	2
13-8-2015	112	64	24	18	3	2	0	1
14-8-2015	168	80	52	27	5	1	1	2
15-8-2015	176	85	41	38	5	4	1	2
16-8-2015	162	79	40	33	1	5	0	4
17-8-2015	139	63	29	32	7	5	0	3
18-8-2015	164	79	48	26	7	2	1	1
19-8-2015	148	85	26	21	10	3	1	2
20-8-2015	128	56	33	28	5	0	4	2
21-8-2015	162	73	43	25	9	3	5	4
22-8-2015	156	70	47	26	8	1	1	3
23-8-2015	171	77	51	30	6	6	0	1
24-8-2015	167	77	45	30	8	5	0	2
25-8-2015	146	67	47	21	5	3	0	3
26-8-2015	167	75	44	33	6	5	0	4
27-8-2015	150	70	54	19	3	1	1	2
28-8-2015	161	68	49	32	6	4	0	2
29-8-2015	155	69	54	22	5	2	2	1
30-8-2015	175	82	48	33	3	5	0	4
31-8-2015	153	78	38	18	10	4	2	3
1-9-2015	146	75	34	25	4	5	1	2
2-9-2015	112	55	27	18	5	3	1	3
3-9-2015	121	59	26	24	5	1	4	2
4-9-2015	144	70	37	23	7	2	3	2
5-9-2015	138	67	38	20	7	1	2	3
6-9-2015	116	53	31	17	7	3	2	3
7-9-2015	102	37	31	18	4	6	2	4
8-9-2015	107	47	34	16	4	3	2	1
9-9-2015	113	42	32	22	4	7	3	3
10-9-2015	108	53	29	14	6	2	1	3
11-9-2015	129	52	40	22	6	3	5	1
12-9-2015	137	61	45	19	6	0	3	3
13-9-2015	141	67	40	18	8	3	1	4
14-9-2015	113	53	30	25	0	1	2	2
15-9-2015	128	53	35	24	5	7	1	3
16-9-2015	102	47	32	14	4	1	2	2
17-9-2015	119	49	37	26	2	3	1	1
18-9-2015	108	39	28	32	0	4	1	4
19-9-2015	133	53	40	26	8	3	1	2
20-9-2015	138	45	48	26	7	6	2	4
21-9-2015	103	41	23	25	6	6	1	1
22-9-2015	97	49	19	22	2	1	1	3
23-9-2015	111	46	30	25	6	2	1	1
24-9-2015	98	32	38	17	7	3	0	1
25-9-2015	136	51	49	23	5	2	4	2
26-9-2015	116	49	32	26	3	3	2	1
27-9-2015	114	48	38	19	3	2	1	3
28-9-2015	110	44	37	18	2	3	2	4
29-9-2015	110	58	31	13	4	2	1	1
30-9-2015	109	47	33	19	2	2	2	4
1-10-2015	65	28	16	13	4	0	1	3
2-10-2015	48	17	19	7	1	2	1	1
3-10-2015	55	23	15	6	2	4	3	2
4-10-2015	49	19	11	6	5	5	1	2
5-10-2015	39	16	11	6	3	1	1	1
6-10-2015	32	11	10	6	3	0	0	2
7-10-2015	28	11	10	3	2	1	0	1
8-10-2015	31	9	6	6	3	2	2	3
9-10-2015	28	11	8	2	4	0	1	2
10-10-2015	26	9	2	12	1	1	0	1
11-10-2015	36	10	10	7	3	4	0	2
12-10-2015	30	8	12	2	3	1	1	3
13-10-2015	33	10	10	5	1	1	2	4
14-10-2015	28	8	3	6	3	3	2	3
15-10-2015	32	10	8	7	2	1	0	4
16-10-2015	27	8	8	4	1	0	3	3
17-10-2015	29	11	9	3	0	0	2	4
18-10-2015	29	8	9	5	1	1	1	4
19-10-2015	27	9	9	0	5	0	1	3
20-10-2015	24	7	2	2	7	3	0	3
21-10-2015	28	7	7	3	4	5	0	2
22-10-2015	35	9	5	11	4	2	0	4
23-10-2015	33	6	8	10	4	2	1	2
24-10-2015	34	10	13	6	3	1	0	1
25-10-2015	37	10	9	6	5	5	0	2
26-10-2015	35	10	7	6	4	2	4	2
27-10-2015	31	8	7	5	6	2	0	3
28-10-2015	30	10	8	3	4	0	2	3
29-10-2015	28	10	7	6	1	1	1	2
30-10-2015	33	15	4	4	3	4	2	1
31-10-2015	38	15	7	5	3	3	1	4
1-11-2015	15	7	2	2	1	0	1	2
2-11-2015	12	4	3	1	1	1	1	1
3-11-2015	15	5	1	3	3	1	0	2
4-11-2015	11	2	4	3	0	0	1	1
5-11-2015	15	0	6	1	1	4	0	3
6-11-2015	14	5	1	4	1	0	0	3
7-11-2015	8	4	0	1	2	0	0	1
8-11-2015	16	3	5	1	0	1	2	4
9-11-2015	10	2	6	0	0	0	0	2
10-11-2015	14	2	4	2	1	0	1	4
11-11-2015	16	5	2	0	4	1	0	4
12-11-2015	14	5	3	0	2	0	1	3
13-11-2015	14	3	3	3	1	1	1	2
14-11-2015	14	2	2	4	2	0	0	4
15-11-2015	11	2	3	1	0	1	1	3
16-11-2015	15	2	5	1	1	2	0	4
17-11-2015	13	2	3	1	1	1	0	5
18-11-2015	10	1	1	3	2	2	0	1
19-11-2015	14	1	3	2	2	2	2	2
20-11-2015	10	1	1	2	2	2	0	2
21-11-2015	11	0	4	1	0	1	1	4
22-11-2015	16	5	3	1	1	0	3	3
23-11-2015	13	3	4	1	0	0	2	3
24-11-2015	13	2	5	2	0	0	0	4
25-11-2015	15	2	4	1	1	1	1	5
26-11-2015	12	2	2	2	0	1	1	4
27-11-2015	10	3	1	3	2	0	0	1
28-11-2015	13	3	1	3	2	1	0	3
29-11-2015	16	4	2	2	4	0	0	4
30-11-2015	15	4	2	0	4	2	0	3
1-12-2015	8	4	0	0	1	0	1	2
2-12-2015	7	1	1	0	1	2	0	2
3-12-2015	9	2	2	1	0	0	0	4
4-12-2015	7	1	0	1	2	1	1	1
5-12-2015	10	4	0	2	1	0	1	2
6-12-2015	8	1	1	2	0	0	1	3
7-12-2015	5	1	1	0	1	1	0	1
8-12-2015	10	3	0	1	0	2	0	4
9-12-2015	7	1	1	1	0	0	2	2
10-12-2015	8	2	2	0	1	0	0	3
11-12-2015	8	1	1	1	0	2	0	3
12-12-2015	6	3	0	0	1	0	0	2
13-12-2015	10	3	1	2	0	0	0	4
14-12-2015	9	0	2	2	1	0	1	3
15-12-2015	8	2	2	1	0	0	1	2
16-12-2015	8	2	2	0	0	0	0	4
17-12-2015	7	2	1	0	0	0	1	3
18-12-2015	8	1	2	0	1	0	2	2
19-12-2015	7	1	0	2	1	1	0	2
20-12-2015	8	1	1	1	2	0	0	3
21-12-2015	9	0	5	0	0	0	0	4
22-12-2015	7	2	3	0	0	1	0	1
23-12-2015	7	0	2	2	0	0	0	3
24-12-2015	6	2	2	0	1	0	0	1
25-12-2015	10	3	1	2	0	0	1	3
26-12-2015	8	1	1	2	0	1	0	3
27-12-2015	7	1	1	0	0	1	1	3
28-12-2015	8	2	1	1	1	0	0	3
29-12-2015	8	3	2	1	0	1	0	1
30-12-2015	9	1	2	2	1	0	0	3
31-12-2015	7	3	1	1	0	0	0	2
1-1-2016	7	1	0	2	1	0	0	3
2-1-2016	5	1	0	1	2	0	0	1
3-1-2016	7	1	0	3	0	0	0	3
4-1-2016	8	1	2	1	0	0	0	4
5-1-2016	5	1	2	0	0	0	1	1
6-1-2016	9	1	3	0	2	0	0	3
7-1-2016	8	1	2	0	1	1	0	3
8-1-2016	10	4	2	0	1	0	0	3
9-1-2016	9	3	0	0	0	0	2	4
10-1-2016	9	0	2	1	1	1	0	4
11-1-2016	6	1	0	2	1	0	1	1
12-1-2016	8	1	0	1	1	0	2	3
13-1-2016	8	1	0	0	1	2	0	4
14-1-2016	8	0	5	0	0	0	0	3
15-1-2016	8	1	2	1	0	0	0	4
16-1-2016	7	2	1	0	0	0	1	3
17-1-2016	10	3	1	1	0	0	0	5
18-1-2016	7	2	3	1	0	0	0	1
19-1-2016	12	3	3	0	2	0	0	4
20-1-2016	8	2	3	1	0	1	0	1
21-1-2016	6	2	1	0	1	0	0	2
22-1-2016	8	1	2	0	0	0	1	4
23-1-2016	7	1	0	3	2	0	0	1
24-1-2016	7	1	1	1	1	0	0	3
25-1-2016	10	1	1	0	2	0	1	5
26-1-2016	7	3	1	0	0	1	0	2
27-1-2016	9	2	1	3	0	0	0	3
28-1-2016	10	2	1	2	1	0	0	4
29-1-2016	8	4	0	1	1	1	0	1
30-1-2016	7	0	3	2	0	0	0	2
31-1-2016	7	2	0	1	1	0	0	3
1-2-2016	19	9	1	4	2	2	0	1
2-2-2016	21	6	5	2	4	2	0	2
3-2-2016	17	5	2	0	1	2	3	4
4-2-2016	18	7	5	3	0	1	0	2
5-2-2016	15	3	4	6	0	0	0	2
6-2-2016	19	5	2	2	6	1	1	2
7-2-2016	17	3	4	2	5	1	0	2
8-2-2016	20	5	5	3	3	3	0	1
9-2-2016	16	5	2	2	3	1	1	2
10-2-2016	21	11	3	0	0	3	2	2
11-2-2016	19	6	3	1	2	3	1	3
12-2-2016	15	1	1	3	1	6	0	3
13-2-2016	21	5	3	4	2	3	0	4
14-2-2016	21	2	6	2	6	0	2	3
15-2-2016	16	3	1	3	4	1	1	3
16-2-2016	19	3	6	2	3	2	1	2
17-2-2016	15	2	3	2	2	2	0	4
18-2-2016	17	3	5	3	2	1	2	1
19-2-2016	14	4	1	2	2	3	0	2
20-2-2016	18	5	4	3	2	1	0	3
21-2-2016	12	2	3	1	4	0	1	1
22-2-2016	18	4	4	0	4	1	1	4
23-2-2016	20	4	2	4	1	3	2	4
24-2-2016	17	6	4	4	1	1	0	1
25-2-2016	21	8	1	3	3	1	1	4
26-2-2016	14	3	4	3	0	3	0	1
27-2-2016	17	2	3	4	4	1	1	2
28-2-2016	21	8	8	1	0	1	0	3
29-2-2016	12	3	2	2	2	2	0	1
1-3-2016	18	7	3	1	3	1	0	3
2-3-2016	20	5	6	5	1	0	2	1
3-3-2016	18	3	7	1	4	1	1	1
4-3-2016	15	5	1	2	2	1	1	3
5-3-2016	22	4	7	3	0	3	1	4
6-3-2016	16	5	4	1	1	2	0	3
7-3-2016	19	4	5	3	0	5	0	2
8-3-2016	13	5	1	1	2	0	1	3
9-3-2016	14	3	3	2	1	1	0	4
10-3-2016	20	7	6	2	2	0	1	2
11-3-2016	19	5	6	2	0	1	2	3
12-3-2016	15	3	3	3	2	1	0	3
13-3-2016	24	7	6	0	5	1	1	4
14-3-2016	18	6	4	1	3	2	0	2
15-3-2016	16	2	4	1	3	2	1	3
16-3-2016	18	4	1	4	2	3	0	4
17-3-2016	19	7	3	1	1	2	1	4
18-3-2016	18	5	4	4	1	0	0	4
19-3-2016	17	4	3	4	2	1	0	3
20-3-2016	18	4	6	2	3	0	1	2
21-3-2016	21	6	5	2	3	0	2	3
22-3-2016	12	1	4	0	4	1	1	1
23-3-2016	15	6	1	0	3	1	0	4
24-3-2016	18	5	5	1	5	0	1	1
25-3-2016	21	8	7	0	3	1	1	1
26-3-2016	18	8	3	2	3	0	0	2
27-3-2016	20	7	5	1	2	1	1	3
28-3-2016	16	5	5	1	1	1	0	3
29-3-2016	14	7	3	0	1	1	0	2
30-3-2016	21	4	0	4	3	6	2	2
31-3-2016	21	6	6	2	2	2	1	2
1-4-2016	22	7	3	2	4	4	1	1
2-4-2016	23	5	4	4	2	3	2	3
3-4-2016	17	5	5	2	2	1	0	2
4-4-2016	19	2	6	3	1	2	1	4
5-4-2016	23	3	6	4	4	0	2	4
6-4-2016	29	9	6	5	2	1	3	3
7-4-2016	19	8	2	1	2	0	2	4
8-4-2016	18	3	8	2	2	0	2	1
9-4-2016	17	5	6	1	2	1	0	2
10-4-2016	27	6	9	4	5	2	0	1
11-4-2016	25	9	7	4	2	0	1	2
12-4-2016	24	6	7	4	1	2	1	3
13-4-2016	23	7	2	5	4	2	2	1
14-4-2016	19	7	7	1	0	2	0	2
15-4-2016	29	15	3	3	3	2	1	2
16-4-2016	27	13	2	5	2	1	1	3
17-4-2016	21	7	3	1	2	2	2	4
18-4-2016	16	4	5	3	1	1	0	2
19-4-2016	18	6	5	2	2	1	0	2
20-4-2016	25	6	12	1	3	1	1	1
21-4-2016	19	6	6	1	1	2	2	1
22-4-2016	22	4	5	6	3	3	0	1
23-4-2016	24	5	5	5	5	1	0	3
24-4-2016	25	5	6	2	4	3	2	3
25-4-2016	15	6	3	1	3	0	0	2
26-4-2016	17	6	5	1	1	1	0	3
27-4-2016	19	7	7	1	1	1	0	2
28-4-2016	24	5	8	4	4	1	1	1
29-4-2016	22	6	2	4	3	2	1	4
30-4-2016	27	5	12	2	3	3	0	2
1-5-2016	45	13	16	12	1	1	1	1
2-5-2016	42	14	12	7	1	3	2	3
3-5-2016	58	24	10	10	5	6	1	2
4-5-2016	36	15	5	6	5	1	1	3
5-5-2016	52	25	11	7	5	3	0	1
6-5-2016	50	16	14	7	4	3	2	4
7-5-2016	51	18	12	9	4	3	2	3
8-5-2016	44	17	10	9	4	1	1	2
9-5-2016	62	21	14	9	8	8	1	1
10-5-2016	64	18	21	9	5	4	3	4
11-5-2016	47	20	13	2	4	4	0	4
12-5-2016	56	17	16	6	7	3	4	3
13-5-2016	54	27	9	8	3	2	0	5
14-5-2016	57	27	13	9	4	3	0	1
15-5-2016	56	29	10	5	4	5	2	1
16-5-2016	53	17	13	14	4	1	3	1
17-5-2016	41	22	12	3	1	1	1	1
18-5-2016	42	19	11	1	7	0	0	4
19-5-2016	53	14	15	7	6	6	1	4
20-5-2016	67	25	9	9	9	7	2	6
21-5-2016	60	24	13	6	7	6	1	3
22-5-2016	58	26	7	9	8	6	1	1
23-5-2016	37	19	10	3	2	2	0	1
24-5-2016	63	31	8	8	8	5	2	1
25-5-2016	55	18	18	9	3	2	2	3
26-5-2016	44	16	10	5	8	4	0	1
27-5-2016	53	21	20	9	2	0	0	1
28-5-2016	65	27	16	10	5	5	1	1
29-5-2016	53	21	10	9	4	5	1	3
30-5-2016	43	20	8	3	3	4	2	3
31-5-2016	59	22	13	7	4	9	2	2
